CLUSTER,2
INPUT,6
HIDDEN1,5
OUTPUT,4
LearningRate,0.25
Convergence,0.01
MaxTraining,10000000
DataDescriptionBegin
Input5,Base Distance For Rake Angle Measurement
Input7,Wheel Diameter
Input8,Profile Angle
Input11,Rake Angle
Input12,Circular Land
Input13,Small Core Diameter
Output0,Wheel Setting Angle
Output1,Minimum Wheel Width
Output2,Wheel Displacement
Output3,Distance Between Axes
DataDescriptionEnd
TrainingSetBegin,Input5,Input7,Input8,Input11,Input12,Input13,Output0,Output1,Output2,Output3,
TD128,0.060055,17.1074,6.42857,0.428571,0.206612,0.575069,1.30586,0.487879,-0.356336,8.79022,
TD129,0.060081,20.3666,6.42857,1.42857,0.339443,0.624915,0.867714,0.418873,-0.221317,10.465,
TD130,0.059981,18.7441,6.42857,1.42857,0.312402,0.625117,0.892071,0.440487,-0.181506,9.66354,
TD131,0.059854,17.5182,6.42857,1.42857,0.291971,0.624818,0.91,0.456934,-0.152409,9.05664,
TD132,0.059981,18.7441,5,1.42857,0.312402,0.625117,1.08536,0.412684,0.097157,9.6801,
TD133,0.059854,17.5182,5,1.42857,0.291971,0.624818,1.1005,0.428029,0.125839,9.06365,
TD134,0.060081,20.3666,6.42857,1.42857,0.509165,0.650034,0.659214,0.291242,-0.31127,10.4246,
TD135,0.059981,18.7441,6.42857,1.42857,0.468604,0.650109,0.716786,0.320525,-0.266167,9.63917,
TD136,0.059854,17.5182,6.42857,1.42857,0.437956,0.649927,0.755357,0.343066,-0.230949,9.04175,
TD137,0.059955,21.5214,6.42857,0.464286,0.181944,0.551897,1.3185,0.510657,-0.465257,10.9643,
TD138,0.060079,21.1982,6.42857,0.464286,0.179211,0.551971,1.32236,0.513228,-0.455026,10.8054,
TD139,0.060013,20.5902,6.42857,0.464286,0.174072,0.552056,1.32971,0.518236,-0.435676,10.5063,
TD140,0.059987,20.3008,6.42857,0.464286,0.171625,0.551978,1.33321,0.520595,-0.42661,10.3638,
TD141,0.059981,20.0258,6.42857,0.464286,0.1693,0.55208,1.33657,0.522735,-0.418091,10.2285,
TD142,0.059975,19.7582,6.42857,0.464286,0.167038,0.55202,1.33986,0.524817,-0.4098,10.0967,
TD143,0.059978,19.5007,6.42857,0.464286,0.164861,0.552049,1.34307,0.52677,-0.401947,9.96985,
TD144,0.059991,19.2528,6.42857,0.464286,0.162765,0.552007,1.34614,0.528755,-0.394357,9.84762,
